Timestamp,Boss_Action,Target_Player,Damage
00:12.740,Fifth Element,Gen Sokyo,58393
00:12.875,Fifth Element,Katchui Alicen,55249
00:13.006,Fifth Element,Kami Makinen,55543
00:13.140,Fifth Element,Alex Ritter,34476
00:13.274,Fifth Element,Eden Kitagawa,35737
00:13.407,Fifth Element,Gopupu Duku,52970
00:13.541,Fifth Element,Stein Phite,54235
00:13.675,Fifth Element,Kisa Valkyrie,55154
00:27.667,Serpent Descending,Stein Phite,58769
00:27.667,Serpent Descending,Katchui Alicen,53236
00:27.667,Serpent Descending,Gopupu Duku,54991
00:27.667,Serpent Descending,Kisa Valkyrie,54013
00:37.203,Onmyo Sigil,Eden Kitagawa,50744
00:50.933,Infirm Soul,Eden Kitagawa,209516
00:54.540,Karmic Curse,Alex Ritter,6995
00:54.673,Karmic Curse,Gen Sokyo,10548
00:54.807,Karmic Curse,Kami Makinen,10364
00:54.942,Karmic Curse,Eden Kitagawa,7942
00:55.075,Karmic Curse,Gopupu Duku,10120
00:55.209,Karmic Curse,Kisa Valkyrie,10318
00:55.341,Karmic Curse,Katchui Alicen,10186
00:55.477,Karmic Curse,Stein Phite,11046
01:17.221,Blue Bolt,Alex Ritter,49904
01:17.311,Red Rush,Gen Sokyo,39745
01:17.311,Red Rush,Kami Makinen,36280
01:17.355,Blue Bolt,Eden Kitagawa,56983
01:17.489,Blue Bolt,Stein Phite,75126
01:17.623,Blue Bolt,Gopupu Duku,72018
01:17.756,Blue Bolt,Kisa Valkyrie,66316
01:17.889,Blue Bolt,Katchui Alicen,66814
01:22.250,100-tonze Swing,Gen Sokyo,87237
01:31.302,Iwa-no-shiki Kanabo,Eden Kitagawa,114069
01:31.346,Iwa-no-shiki Kanabo,Alex Ritter,97588
01:41.551,Doro-no-shiki Explosion,Gen Sokyo,30349
01:41.683,Doro-no-shiki Explosion,Eden Kitagawa,18808
01:41.817,Doro-no-shiki Explosion,Gopupu Duku,28068
01:41.951,Doro-no-shiki Explosion,Alex Ritter,18295
01:42.085,Doro-no-shiki Explosion,Kami Makinen,29614
01:42.219,Doro-no-shiki Explosion,Katchui Alicen,26499
01:42.265,Doro-no-shiki Explosion,Gen Sokyo,29445
01:42.353,Doro-no-shiki Explosion,Kisa Valkyrie,26144
01:42.398,Doro-no-shiki Explosion,Alex Ritter,18062
01:42.487,Doro-no-shiki Explosion,Stein Phite,30105
01:42.532,Doro-no-shiki Explosion,Gopupu Duku,26592
