Timestamp,Boss_Action,Target_Player,Damage
00:12.740,Fifth Element,Shade Illumi,31895
00:12.897,Fifth Element,Hera Adaar,42882
00:13.054,Fifth Element,Rodan Verdefan,56622
00:13.119,Fifth Element,Arnthor Hraezlyr,31208
00:13.304,Fifth Element,Haakon Ravn,55356
00:13.460,Fifth Element,Yiliya Xiee,52830
00:13.525,Fifth Element,Ja'namo Rhiku,45244
00:27.737,Serpent Descending,Ja'namo Rhiku,53677
00:27.737,Serpent Descending,Juni Taalik,54600
00:27.737,Serpent Descending,Rodan Verdefan,55592
00:27.737,Serpent Descending,Yiliya Xiee,53023
00:36.655,Onmyo Sigil,Haakon Ravn,76471
00:50.295,Infirm Soul,Shade Illumi,83993
00:50.451,Infirm Soul,Ja'namo Rhiku,279686
00:53.979,Karmic Curse,Arnthor Hraezlyr,6592
00:54.150,Karmic Curse,Shade Illumi,6597
00:54.323,Karmic Curse,Haakon Ravn,12970
00:54.387,Karmic Curse,Rodan Verdefan,10407
00:54.557,Karmic Curse,Yiliya Xiee,10383
00:54.668,Karmic Curse,Hera Adaar,10186
00:54.795,Karmic Curse,Juni Taalik,10410
01:16.508,Blue Bolt,Arnthor Hraezlyr,56353
01:16.651,Red Rush,Rodan Verdefan,39182
01:16.651,Red Rush,Haakon Ravn,41839
01:16.694,Blue Bolt,Yiliya Xiee,78074
01:16.851,Blue Bolt,Ja'namo Rhiku,78234
01:16.917,Blue Bolt,Hera Adaar,70644
01:17.102,Blue Bolt,Juni Taalik,68413
01:17.257,Blue Bolt,Shade Illumi,48720
01:30.734,Iwa-no-shiki Kanabo,Arnthor Hraezlyr,98183
01:30.734,Iwa-no-shiki Kanabo,Shade Illumi,98869
01:44.894,Doro-no-shiki Explosion,Shade Illumi,18917
01:44.983,Doro-no-shiki Explosion,Rodan Verdefan,29238
01:45.131,Doro-no-shiki Explosion,Hera Adaar,27062
01:45.295,Doro-no-shiki Explosion,Yiliya Xiee,28047
01:45.295,Doro-no-shiki Explosion,Yiliya Xiee,26359
01:45.384,Doro-no-shiki Explosion,Rodan Verdefan,29791
01:45.384,Doro-no-shiki Explosion,Ja'namo Rhiku,28926
01:45.534,Doro-no-shiki Explosion,Shade Illumi,27749
01:45.534,Doro-no-shiki Explosion,Juni Taalik,36907
01:45.698,Doro-no-shiki Explosion,Juni Taalik,26902
01:45.698,Doro-no-shiki Explosion,Arnthor Hraezlyr,18171
01:45.786,Doro-no-shiki Explosion,Ja'namo Rhiku,28926
01:45.786,Doro-no-shiki Explosion,Haakon Ravn,29230
01:45.933,Doro-no-shiki Explosion,Hera Adaar,27062
01:46.097,Doro-no-shiki Explosion,Haakon Ravn,29230
01:46.097,Doro-no-shiki Explosion,Rodan Verdefan,28895
01:46.334,Doro-no-shiki Explosion,Yiliya Xiee,26558
01:46.498,Doro-no-shiki Explosion,Ja'namo Rhiku,27698
01:46.587,Doro-no-shiki Explosion,Hera Adaar,26200
01:46.736,Doro-no-shiki Explosion,Juni Taalik,27985
01:46.899,Doro-no-shiki Explosion,Haakon Ravn,29599
01:46.987,Doro-no-shiki Explosion,Arnthor Hraezlyr,18787
01:53.555,Numa-no-shiki Explosion,Hera Adaar,67708
01:53.666,Numa-no-shiki Explosion,Ja'namo Rhiku,72295
01:53.808,Numa-no-shiki Explosion,Haakon Ravn,74755
01:53.957,Numa-no-shiki Explosion,Arnthor Hraezlyr,44411
01:54.067,Numa-no-shiki Explosion,Shade Illumi,38845
01:54.209,Numa-no-shiki Explosion,Rodan Verdefan,73102
01:54.356,Numa-no-shiki Explosion,Juni Taalik,67848
01:54.466,Numa-no-shiki Explosion,Yiliya Xiee,64665
02:02.668,Doro-no-shiki Explosion,Hera Adaar,19407
02:02.847,Doro-no-shiki Explosion,Rodan Verdefan,19882
02:02.996,Doro-no-shiki Explosion,Ja'namo Rhiku,18939
02:03.070,Doro-no-shiki Explosion,Haakon Ravn,19537
02:03.070,Doro-no-shiki Explosion,Haakon Ravn,21624
02:03.248,Doro-no-shiki Explosion,Shade Illumi,19353
02:03.248,Doro-no-shiki Explosion,Arnthor Hraezlyr,4075
02:03.395,Doro-no-shiki Explosion,Rodan Verdefan,18054
02:03.471,Doro-no-shiki Explosion,Yiliya Xiee,19674
02:03.471,Doro-no-shiki Explosion,Hera Adaar,19906
02:03.649,Doro-no-shiki Explosion,Juni Taalik,21196
02:03.798,Doro-no-shiki Explosion,Yiliya Xiee,18944
02:03.870,Doro-no-shiki Explosion,Ja'namo Rhiku,23156
02:04.049,Doro-no-shiki Explosion,Juni Taalik,17098
02:05.297,Doro-no-shiki Explosion,Shade Illumi,17670
02:05.438,Doro-no-shiki Explosion,Haakon Ravn,28527
02:05.565,Doro-no-shiki Explosion,Hera Adaar,27120
02:05.698,Doro-no-shiki Explosion,Ja'namo Rhiku,29963
02:05.839,Doro-no-shiki Explosion,Arnthor Hraezlyr,18822
02:05.964,Doro-no-shiki Explosion,Juni Taalik,27019
02:06.097,Doro-no-shiki Explosion,Rodan Verdefan,28816
02:06.240,Doro-no-shiki Explosion,Yiliya Xiee,26688
02:18.663,Doro-no-shiki Explosion,Hera Adaar,27159
02:18.798,Doro-no-shiki Explosion,Rodan Verdefan,30333
02:18.930,Doro-no-shiki Explosion,Shade Illumi,18794
02:19.064,Doro-no-shiki Explosion,Ja'namo Rhiku,29314
