Timestamp,Boss_Action,Target_Player,Damage
00:12.740,Fifth Element,Keoni Oka,37845
00:12.874,Fifth Element,Valentine Roseblade,54624
00:13.006,Fifth Element,Katyn Whitewind,26129
00:13.141,Fifth Element,Seraphite Syamine,37615
00:13.273,Fifth Element,Nao Ki,39737
00:13.406,Fifth Element,Liv Chan,41763
00:13.540,Fifth Element,Pipico Pico,41763
00:13.675,Fifth Element,Erdem Kagon,41763
00:27.621,Serpent Descending,Valentine Roseblade,51945
00:27.621,Serpent Descending,Keoni Oka,54305
00:27.622,Serpent Descending,Katyn Whitewind,34712
00:27.622,Serpent Descending,Nao Ki,54521
00:37.245,Onmyo Sigil,Seraphite Syamine,51811
00:50.918,Infirm Soul,Katyn Whitewind,178869
00:54.572,Karmic Curse,Seraphite Syamine,8467
00:54.707,Karmic Curse,Katyn Whitewind,6693
00:54.840,Karmic Curse,Liv Chan,11070
00:54.975,Karmic Curse,Keoni Oka,10895
00:55.108,Karmic Curse,Pipico Pico,9776
00:55.245,Karmic Curse,Erdem Kagon,9738
00:55.375,Karmic Curse,Valentine Roseblade,9910
00:55.513,Karmic Curse,Nao Ki,10563
01:17.213,Blue Bolt,Katyn Whitewind,79967
01:17.302,Red Rush,Valentine Roseblade,36458
01:17.302,Red Rush,Pipico Pico,24202
01:17.347,Blue Bolt,Seraphite Syamine,89099
01:17.481,Blue Bolt,Keoni Oka,86914
01:17.615,Blue Bolt,Nao Ki,68700
01:17.748,Blue Bolt,Liv Chan,72152
01:17.881,Blue Bolt,Erdem Kagon,72127
01:31.294,Iwa-no-shiki Kanabo,Katyn Whitewind,95670
01:31.339,Iwa-no-shiki Kanabo,Seraphite Syamine,110787
01:48.399,Doro-no-shiki Explosion,Keoni Oka,29963
01:48.488,Doro-no-shiki Explosion,Keoni Oka,33069
01:48.533,Doro-no-shiki Explosion,Pipico Pico,28597
01:48.621,Doro-no-shiki Explosion,Erdem Kagon,27568
01:48.666,Doro-no-shiki Explosion,Katyn Whitewind,18022
01:48.755,Doro-no-shiki Explosion,Liv Chan,29979
01:48.755,Doro-no-shiki Explosion,Pipico Pico,28305
01:48.800,Doro-no-shiki Explosion,Seraphite Syamine,18673
01:48.890,Doro-no-shiki Explosion,Valentine Roseblade,27806
01:48.890,Doro-no-shiki Explosion,Liv Chan,28609
01:48.933,Doro-no-shiki Explosion,Valentine Roseblade,28005
01:49.022,Doro-no-shiki Explosion,Nao Ki,26463
01:49.022,Doro-no-shiki Explosion,Katyn Whitewind,18569
01:49.068,Doro-no-shiki Explosion,Liv Chan,29264
01:49.156,Doro-no-shiki Explosion,Pipico Pico,28423
01:49.156,Doro-no-shiki Explosion,Seraphite Syamine,18033
01:49.200,Doro-no-shiki Explosion,Nao Ki,27592
01:49.290,Doro-no-shiki Explosion,Erdem Kagon,28631
01:49.290,Doro-no-shiki Explosion,Valentine Roseblade,28167
01:49.332,Doro-no-shiki Explosion,Erdem Kagon,27466
01:49.423,Doro-no-shiki Explosion,Nao Ki,28360
01:49.557,Doro-no-shiki Explosion,Keoni Oka,32285
01:49.690,Doro-no-shiki Explosion,Katyn Whitewind,18065
01:52.410,Numa-no-shiki Explosion,Keoni Oka,69507
01:52.544,Numa-no-shiki Explosion,Valentine Roseblade,66728
01:52.677,Numa-no-shiki Explosion,Pipico Pico,65685
01:52.811,Numa-no-shiki Explosion,Erdem Kagon,66727
01:52.944,Numa-no-shiki Explosion,Seraphite Syamine,44741
01:53.078,Numa-no-shiki Explosion,Liv Chan,69472
01:53.211,Numa-no-shiki Explosion,Katyn Whitewind,44023
01:53.346,Numa-no-shiki Explosion,Nao Ki,69809
02:04.659,Doro-no-shiki Explosion,Seraphite Syamine,19460
02:04.794,Doro-no-shiki Explosion,Liv Chan,52448
02:04.927,Doro-no-shiki Explosion,Erdem Kagon,49428
02:05.059,Doro-no-shiki Explosion,Katyn Whitewind,32294
02:05.193,Doro-no-shiki Explosion,Valentine Roseblade,49448
02:05.326,Doro-no-shiki Explosion,Keoni Oka,28555
02:05.459,Doro-no-shiki Explosion,Nao Ki,28184
02:05.593,Doro-no-shiki Explosion,Pipico Pico,26207
02:05.772,Doro-no-shiki Explosion,Seraphite Syamine,22280
02:06.707,Doro-no-shiki Explosion,Pipico Pico,24958
02:08.404,Doro-no-shiki Explosion,Seraphite Syamine,16673
02:08.538,Doro-no-shiki Explosion,Keoni Oka,54156
02:08.671,Doro-no-shiki Explosion,Erdem Kagon,27619
02:08.804,Doro-no-shiki Explosion,Katyn Whitewind,16147
02:08.938,Doro-no-shiki Explosion,Valentine Roseblade,29145
02:09.072,Doro-no-shiki Explosion,Liv Chan,27275
02:09.206,Doro-no-shiki Explosion,Pipico Pico,26023
02:09.339,Doro-no-shiki Explosion,Nao Ki,53670
02:26.097,Doro-no-shiki Explosion,Liv Chan,29760
02:26.186,Doro-no-shiki Explosion,Erdem Kagon,28200
02:26.230,Doro-no-shiki Explosion,Erdem Kagon,27464
02:26.319,Doro-no-shiki Explosion,Katyn Whitewind,18680
02:26.364,Doro-no-shiki Explosion,Keoni Oka,27626
02:26.454,Doro-no-shiki Explosion,Seraphite Syamine,18496
02:26.497,Doro-no-shiki Explosion,Seraphite Syamine,19006
02:26.585,Doro-no-shiki Explosion,Liv Chan,29965
02:26.631,Doro-no-shiki Explosion,Katyn Whitewind,17393
02:26.719,Doro-no-shiki Explosion,Keoni Oka,29884
02:26.763,Doro-no-shiki Explosion,Nao Ki,27589
02:26.853,Doro-no-shiki Explosion,Valentine Roseblade,27413
02:26.898,Doro-no-shiki Explosion,Valentine Roseblade,26365
02:26.986,Doro-no-shiki Explosion,Nao Ki,28413
02:27.032,Doro-no-shiki Explosion,Pipico Pico,27230
02:27.121,Doro-no-shiki Explosion,Pipico Pico,27587
02:29.929,Numa-no-shiki Explosion,Seraphite Syamine,44480
02:30.064,Numa-no-shiki Explosion,Keoni Oka,69433
02:30.197,Numa-no-shiki Explosion,Katyn Whitewind,42884
02:30.331,Numa-no-shiki Explosion,Liv Chan,70151
02:30.465,Numa-no-shiki Explosion,Erdem Kagon,69354
02:30.599,Numa-no-shiki Explosion,Valentine Roseblade,64290
02:30.732,Numa-no-shiki Explosion,Nao Ki,65386
02:30.867,Numa-no-shiki Explosion,Pipico Pico,66183
02:31.532,Doro-no-shiki Explosion,Valentine Roseblade,27558
02:31.665,Doro-no-shiki Explosion,Erdem Kagon,25912
02:31.799,Doro-no-shiki Explosion,Keoni Oka,29078
02:31.932,Doro-no-shiki Explosion,Seraphite Syamine,17698
02:32.066,Doro-no-shiki Explosion,Nao Ki,28604
02:32.198,Doro-no-shiki Explosion,Liv Chan,27757
02:32.332,Doro-no-shiki Explosion,Pipico Pico,26740
02:32.466,Doro-no-shiki Explosion,Katyn Whitewind,17468
03:05.209,Dragon's Wake,Keoni Oka,106244
03:05.343,Dragon's Wake,Seraphite Syamine,70902
03:05.477,Dragon's Wake,Nao Ki,103936
03:05.609,Dragon's Wake,Valentine Roseblade,98556
03:05.744,Dragon's Wake,Pipico Pico,103031
03:05.878,Dragon's Wake,Erdem Kagon,105911
03:06.012,Dragon's Wake,Katyn Whitewind,70763
03:06.146,Dragon's Wake,Liv Chan,113414
03:26.604,Coursing River,Erdem Kagon,16312
03:26.737,Coursing River,Seraphite Syamine,10473
03:26.869,Coursing River,Keoni Oka,16365
03:27.004,Coursing River,Liv Chan,17766
03:27.137,Coursing River,Katyn Whitewind,10428
03:27.271,Coursing River,Nao Ki,15662
03:27.404,Coursing River,Pipico Pico,15230
03:27.538,Coursing River,Valentine Roseblade,15300
03:29.186,Great Typhoon,Erdem Kagon,9002
03:29.320,Great Typhoon,Nao Ki,8421
03:29.454,Great Typhoon,Keoni Oka,9728
03:29.587,Great Typhoon,Seraphite Syamine,6234
03:45.765,Fifth Element,Seraphite Syamine,19161
03:45.898,Fifth Element,Katyn Whitewind,33504
03:46.031,Fifth Element,Erdem Kagon,58987
03:46.164,Fifth Element,Valentine Roseblade,54943
03:46.298,Fifth Element,Keoni Oka,62072
03:46.432,Fifth Element,Nao Ki,60505
03:46.565,Fifth Element,Pipico Pico,62827
03:46.698,Fifth Element,Liv Chan,54131
04:05.503,Force of Nature,Seraphite Syamine,3192
04:05.637,Force of Nature,Katyn Whitewind,2790
04:05.770,Force of Nature,Pipico Pico,4405
